|Assets                         |Constants                  |Fonts   |Functions                             |Objects                  |Sounds                    |Sprites                        |Variables               |
|Cactus                         |char_venuz                 |        |chat_comp_remove_arg                  |Cactus                   |sndAssassinAttack         |mskPopup                       |xprevious               |
|CampChar                       |crwn_blood                 |        |choose                                |CampChar                 |sndAssassinDie            |mskRad                         |xstart                  |
|Campfire                       |crwn_curses                |        |chr                                   |Campfire                 |sndAssassinGetUp          |mskRat                         |y                       |
|CampfireOff                    |crwn_death                 |        |clamp                                 |CampfireOff              |sndAssassinHit            |mskReviveArea                  |yprevious               |
|CanOasis                       |crwn_destiny               |        |collision_circle                      |CanOasis                 |sndAssassinPretend        |mskRhinoFreak                  |ystart                  |
|CanSpawnBoss                   |crwn_guns                  |        |collision_ellipse                     |CanSpawnBoss             |sndBallMamaAppear         |mskSalamander                  |                        |
|Car                            |crwn_haste                 |        |collision_line                        |Car                      |sndBallMamaDead1          |mskScorpion                    |                        |
|CarThrow                       |crwn_hatred                |        |collision_point                       |CarThrow                 |sndBallMamaDead2          |mskScrapBoss                   |                        |
|CarVenus                       |crwn_life                  |        |collision_rectangle                   |CarVenus                 |sndBallMamaFire           |mskScrapBossMissile            |                        |
|CarVenus2                      |crwn_love                  |        |color_get_blue                        |CarVenus2                |sndBallMamaHalfHP         |mskSeeker                      |                        |
|CarVenusFixed                  |crwn_luck                  |        |color_get_green                       |CarVenusFixed            |sndBallMamaHurt           |mskShield                      |                        |
|Carpet                         |crwn_none                  |        |color_get_hue                         |Carpet                   |sndBallMamaLoop           |mskSlash                       |                        |
|CaveSparkle                    |crwn_protection            |        |color_get_red                         |CaveSparkle              |sndBallMamaLowHP          |mskSmallExplosion              |                        |
|Chandelier                     |crwn_random                |        |color_get_saturation                  |Chandelier               |sndBallMamaTaunt          |mskSnowBot                     |                        |
|CharSelect                     |crwn_risk                  |        |color_get_value                       |CharSelect               |sndBanditDie              |mskSnowTank                    |                        |
|CharredGround                  |ev_alarm                   |        |colour_get_blue                       |CharredGround            |sndBanditHit              |mskSpider                      |                        |
|ChestOpen                      |ev_animation_end           |        |colour_get_green                      |ChestOpen                |sndBasicUltra             |mskStreetLight                 |                        |
|ChickenB                       |ev_boundary                |        |colour_get_hue                        |ChickenB                 |sndBecomeNothingHurt      |mskSuperFlakBullet             |                        |
|ClusterNade                    |ev_close_button            |        |colour_get_red                        |ClusterNade              |sndBecomeNothingIdle      |mskTechnoMancer                |                        |
|Cocoon                         |ev_collision               |        |colour_get_saturation                 |Cocoon                   |sndBecomeNothingRumble    |mskUltraBullet                 |                        |
|Confetti                       |ev_create                  |        |colour_get_value                      |Confetti                 |sndBecomeNothingStartup   |mskVan                         |                        |
|ConfettiBall                   |ev_destroy                 |        |cos                                   |ConfettiBall             |sndBigBallExplo           |mskVenuzTV                     |                        |
|ControlMenuButton              |ev_draw                    |        |crown_get_name                        |ControlMenuButton        |sndBigBallFire            |mskWall                        |                        |
|CoopSkillIcon                  |ev_draw_begin              |        |crown_get_text                        |CoopSkillIcon            |sndBigBanditDie           |mskWepPickup                   |                        |
|CoopToggle                     |ev_draw_end                |        |d3d_end                               |CoopToggle               |sndBigBanditHalfHP        |shd16                          |                        |
|Corpse                         |ev_draw_post               |        |d3d_set_culling                       |Corpse                   |sndBigBanditHit           |shd24                          |                        |
|CorpseActive                   |ev_draw_pre                |        |d3d_set_fog                           |CorpseActive             |sndBigBanditIntro         |shd32                          |                        |
|Crab                           |ev_end_of_path             |        |d3d_set_hidden                        |Crab                     |sndBigBanditMelee         |shd48                          |                        |
|Credits                        |ev_game_end                |        |d3d_set_perspective                   |Credits                  |sndBigBanditMeleeHit      |shd64                          |                        |
|CreditsSelect                  |ev_game_start              |        |d3d_set_projection                    |CreditsSelect            |sndBigBanditMeleeStart    |shd64B                         |                        |
|Crown                          |ev_global_left_button      |        |d3d_set_projection_ext                |Crown                    |sndBigBanditShootLaugh    |shd96                          |                        |
|CrownGuardian                  |ev_global_left_press       |        |d3d_set_projection_ortho              |CrownGuardian            |sndBigBanditStartShoot    |spr360Big                      |                        |
|CrownGuardianOld               |ev_global_left_release     |        |d3d_set_zwriteenable                  |CrownGuardianOld         |sndBigBanditStopShoot     |spr360Small                    |                        |
|CrownIcon                      |ev_global_middle_button    |        |d3d_start                             |CrownIcon                |sndBigBanditTaunt         |sprARifle                      |                        |
|CrownLoadout                   |ev_global_middle_press     |        |d3d_transform_add_rotation_axis       |CrownLoadout             |sndBigCursedChest         |sprAcidStreak                  |                        |
|CrownPed                       |ev_global_middle_release   |        |d3d_transform_add_rotation_x          |CrownPed                 |sndBigDogDeath            |sprAllyAppear                  |                        |
|CrownPickup                    |ev_global_press            |        |d3d_transform_add_rotation_y          |CrownPickup              |sndBigDogHalfHP           |sprAllyBullet                  |                        |
|CrownSelect                    |ev_global_release          |        |d3d_transform_add_rotation_z          |CrownSelect              |sndBigDogHit              |sprAllyBulletHit               |                        |
|CrystTrail                     |ev_global_right_button     |        |d3d_transform_add_scaling             |CrystTrail               |sndBigDogIntro            |sprAllyDamage                  |                        |
|CrystalProp                    |ev_global_right_press      |        |d3d_transform_add_translation         |CrystalProp              |sndBigDogMissile          |sprAllyDead                    |                        |
|CrystalShield                  |ev_global_right_release    |        |d3d_transform_set_identity            |CrystalShield            |sndBigDogSpin             |sprAllyGun                     |                        |
|CrystalShieldDisappear         |ev_gui                     |        |d3d_transform_set_rotation_axis       |CrystalShieldDisappear   |sndBigDogTaunt            |sprAllyGunTB                   |                        |
|Curse                          |ev_gui_begin               |        |d3d_transform_set_rotation_x          |Curse                    |sndBigDogWalk             |sprAllyHurt                    |                        |
|CustomBeginStep                |ev_gui_end                 |        |d3d_transform_set_rotation_y          |CustomBeginStep          |sndBigGeneratorBreak      |sprAllyIdle                    |                        |
|CustomDraw                     |ev_keyboard                |        |d3d_transform_set_rotation_z          |CustomDraw               |sndBigGeneratorHurt       |sprAllyWalk                    |                        |
|CustomEndStep                  |ev_keypress                |        |d3d_transform_set_scaling             |CustomEndStep            |sndBigMaggotBite          |sprAmmo                        |                        |
|CustomEnemy                    |ev_keyrelease              |        |d3d_transform_set_translation         |CustomEnemy              |sndBigMaggotBurrow        |sprAmmoChest                   |                        |
|CustomHitme                    |ev_left_button             |        |d3d_transform_stack_pop               |CustomHitme              |sndBigMaggotDie           |sprAmmoChestMystery            |                        |
|CustomObject                   |ev_left_press              |        |d3d_transform_stack_push              |CustomObject             |sndBigMaggotHit           |sprAmmoChestMysteryOpen        |                        |
|CustomProjectile               |ev_left_release            |        |darccos                               |CustomProjectile         |sndBigMaggotUnburrow      |sprAmmoChestOpen               |                        |
|CustomProp                     |ev_middle_button           |        |darcsin                               |CustomProp               |sndBigMaggotUnburrowSand  |sprAmmoChestSteroids           |                        |
|CustomScript                   |ev_middle_press            |        |darctan                               |CustomScript             |sndBigWeaponChest         |sprAmmoChestSteroidsOpen       |                        |
|CustomSlash                    |ev_middle_release          |        |darctan2                              |CustomSlash              |sndBlackSword             |sprAmmoIcons                   |                        |
|CustomStep                     |ev_mouse                   |        |dcos                                  |CustomStep               |sndBlackSwordMega         |sprAmmoIconsWhite              |                        |
|DailyArrow                     |ev_mouse_enter             |        |degtorad                              |DailyArrow               |sndBloodCannon            |sprAmmoPointer                 |                        |
|DailyMenuButton                |ev_mouse_leave             |        |distance_to_object                    |DailyMenuButton          |sndBloodCannonEnd         |sprAnchor                      |                        |
|DailyScores                    |ev_mouse_wheel_down        |        |distance_to_point                     |DailyScores              |sndBloodCannonLoop        |sprAnchorDead                  |                        |
|DailyToggle                    |ev_mouse_wheel_up          |        |dot_product                           |DailyToggle              |sndBloodGamble            |sprAnchorHurt                  |                        |
|Debris                         |ev_no_button               |        |dot_product_3d                        |Debris                   |sndBloodHammer            |sprAreaBackCol                 |                        |
|Deflect                        |ev_no_more_health          |        |dot_product_3d_normalised             |Deflect                  |sndBloodHurt              |sprAreaShadCol                 |                        |
|Detail                         |ev_no_more_lives           |        |dot_product_normalised                |Detail                   |sndBloodLauncher          |sprAssassinNotice              |                        |
|Devastator                     |ev_other                   |        |draw_arrow                            |Devastator               |sndBloodLauncherExplo     |sprAssaultSlugger              |                        |
|Disc                           |ev_outside                 |        |draw_background                       |Disc                     |sndBloodlustProc          |sprAutoCrossbow                |                        |
|DiscBounce                     |ev_right_button            |        |draw_background_ext                   |DiscBounce               |sndBoltHitWall            |sprAutoFlameShotgun            |                        |
|DiscDisappear                  |ev_right_press             |        |draw_background_general               |DiscDisappear            |sndBossIntroIn            |sprAutoNadeShotgun             |                        |
|DiscTrail                      |ev_right_release           |        |draw_background_part                  |DiscTrail                |sndBossIntroOut           |sprAutoShotgun                 |                        |
|Dispose                        |ev_room_end                |        |draw_background_part_ext              |Dispose                  |sndBossWin                |sprBack                        |                        |
|DogGuardian                    |ev_room_start              |        |draw_background_stretched             |DogGuardian              |sndBouncerBounce          |sprBackButton                  |                        |
|DogMissile                     |ev_step                    |        |draw_background_stretched_ext         |DogMissile               |sndBouncerShotgun         |sprBackFloor                   |                        |
|DragonBurst                    |ev_step_begin              |        |draw_background_tiled                 |DragonBurst              |sndBouncerSmg             |sprBackFloor2                  |                        |
|DragonSound                    |ev_step_end                |        |draw_background_tiled_ext             |DragonSound              |sndBuffGatorDie           |sprBackFloorSmall              |                        |
|Drama                          |ev_step_normal             |        |draw_button                           |Drama                    |sndBuffGatorHit           |sprBackSplat                   |                        |
|DramaCamera                    |ev_trigger                 |        |draw_circle                           |DramaCamera              |sndBurn                   |sprBanditBossDash              |                        |
|Drip                           |ev_user0                   |        |draw_circle_color                     |Drip                     |sndCanBounce1             |sprBanditBossDead              |                        |
|Dust                           |ev_user1                   |        |draw_circle_colour                    |Dust                     |sndCanBounce2             |sprBanditBossFire              |                        |
|DustOLD                        |ev_user10                  |        |draw_clear                            |DustOLD                  |sndCarLoop                |sprBanditBossGun               |                        |
|EBulletHit                     |ev_user11                  |        |draw_clear_alpha                      |EBulletHit               |sndCharUnlock             |sprBanditBossHurt              |                        |
|EFlakBullet                    |ev_user12                  |        |draw_ellipse                          |EFlakBullet              |sndChest                  |sprBanditBossIdle              |                        |
|EGSkillIcon                    |ev_user13                  |        |draw_ellipse_color                    |EGSkillIcon              |sndChickenHeadlessLoop    |sprBanditBossStop              |                        |
|EatRad                         |ev_user14                  |        |draw_ellipse_colour                   |EatRad                   |sndChickenLoop            |sprBanditBossTell              |                        |
|Effect                         |ev_user15                  |        |draw_get_alpha                        |Effect                   |sndChickenLoseHead        |sprBanditBossWalk              |                        |
|EliteGrunt                     |ev_user2                   |        |draw_get_alpha_test                   |EliteGrunt               |sndChickenRegenHead       |sprBanditDead                  |                        |
|EliteGruntFlame                |ev_user3                   |        |draw_get_alpha_test_ref_value         |EliteGruntFlame          |sndChickenReturn          |sprBanditGun                   |                        |
|EliteInspector                 |ev_user4                   |        |draw_get_color                        |EliteInspector           |sndChickenStart           |sprBanditHurt                  |                        |
|EliteShielder                  |ev_user5                   |        |draw_get_colour                       |EliteShielder            |sndChickenSword           |sprBanditIdle                  |                        |
|EmoteIndicator                 |ev_user6                   |        |draw_get_halign                       |EmoteIndicator           |sndChickenThrow           |sprBanditWalk                  |                        |
|EnemyBullet1                   |ev_user7                   |        |draw_get_valign                       |EnemyBullet1             |sndChickenUltraA          |sprBarrel                      |                        |
|EnemyBullet2                   |ev_user8                   |        |draw_get_visible                      |EnemyBullet2             |sndChickenUltraB          |sprBarrelDead                  |                        |
|EnemyBullet3                   |ev_user9                   |        |draw_healthbar                        |EnemyBullet3             |sndClick                  |sprBarrelHurt                  |                        |
|EnemyBullet4                   |fa_bottom                  |        |draw_line                             |EnemyBullet4             |sndClickBack              |sprBazooka                     |                        |
|EnemyHorror                    |fa_center                  |        |draw_line_color                       |EnemyHorror              |sndClusterLauncher        |sprBigDogExplode               |                        |
|EnemyLaser                     |fa_left                    |        |draw_line_colour                      |EnemyLaser               |sndClusterOpen            |sprBigFishDead                 |                        |
|EnemyLightning                 |fa_middle                  |        |draw_line_width                       |EnemyLightning           |sndCocoonBreak            |sprBigFishFire                 |                        |
|EnemySlash                     |fa_right                   |        |draw_line_width_color                 |EnemySlash               |sndComputerBreak          |sprBigFishFireEnd              |                        |
|EnergyHammerSlash              |fa_top                     |        |draw_line_width_colour                |EnergyHammerSlash        |sndConfetti1              |sprBigFishFireStart            |                        |
|EnergyShank                    |game_version               |        |draw_path                             |EnergyShank              |sndConfetti2              |sprBigFishHurt                 |                        |
|EnergySlash                    |matrix_projection          |        |draw_point                            |EnergySlash              |sndConfetti3              |sprBigFishIdle                 |                        |
|ExploFreak                     |matrix_view                |        |draw_point_color                      |ExploFreak               |sndConfetti4              |sprBigFishWalk                 |                        |
|ExploGuardian                  |matrix_world               |        |draw_point_colour                     |ExploGuardian            |sndConfetti5              |sprBigFlowerDead               |                        |
|Exploder                       |maxp                       |        |draw_primitive_begin                  |Exploder                 |sndConfetti6              |sprBigFlowerHurt               |                        |
|ExploderExplo                  |mod_current                |        |draw_primitive_begin_texture          |ExploderExplo            |sndConfetti7              |sprBigFlowerIdle               |                        |
|Explosion                      |mod_current                |        |draw_primitive_end                    |Explosion                |sndConfettiGun            |sprBigGenerator                |                        |
|FXChestOpen                    |mod_current                |        |draw_rect_ext                         |FXChestOpen              |sndCoopUltraA             |sprBigGeneratorActivate        |                        |
|FastRat                        |mod_current                |        |draw_rectangle                        |FastRat                  |sndCoopUltraB             |sprBigGeneratorDead            |                        |
|Feather                        |mod_current                |        |draw_rectangle_color                  |Feather                  |sndCorpseExplo            |sprBigGeneratorHurt            |                        |
|FireBall                       |mod_current                |        |draw_rectangle_colour                 |FireBall                 |sndCorpseExploDead        |sprBigGeneratorInactive        |                        |
|FireBaller                     |mod_current                |        |draw_reset_projection                 |FireBaller               |sndCorpseExploUpg         |sprBigGuardianBullet           |                        |
|FireCont                       |mod_current                |        |draw_roundrect                        |FireCont                 |sndCrossReload            |sprBigGuardianBulletSpawn      |                        |
|FireFly                        |mod_current                |        |draw_roundrect_color                  |FireFly                  |sndCrossbow               |sprBigMaggotAppear             |                        |
|FiredMaggot                    |mod_current                |        |draw_roundrect_color_ext              |FiredMaggot              |sndCrownAppear            |sprBigMaggotBurrow             |                        |
|FishA                          |mod_current                |        |draw_roundrect_colour                 |FishA                    |sndCrownBlood             |sprBigMaggotDead               |                        |
|FishBoost                      |mod_current                |        |draw_roundrect_colour_ext             |FishBoost                |sndCrownCurses            |sprBigMaggotHurt               |                        |
|FitScreenToggle                |mod_current                |        |draw_roundrect_ext                    |FitScreenToggle          |sndCrownDeath             |sprBigMaggotIdle               |                        |
|FlakBullet                     |mod_current                |        |draw_self                             |FlakBullet               |sndCrownDestiny           |sprBigName                     |                        |
|Flame                          |mod_current                |        |draw_set_alpha                        |Flame                    |sndCrownGuardianAppear    |sprBigNameCentered             |                        |
|FlameBall                      |mod_current                |        |draw_set_alpha_test                   |FlameBall                |sndCrownGuardianDead      |sprBigNameCenteredB            |                        |
|FlameBurst                     |mod_current                |        |draw_set_alpha_test_ref_value         |FlameBurst               |sndCrownGuardianDisappear |sprBigNameFont                 |                        |
|FlameShell                     |mod_current                |        |draw_set_blend_mode                   |FlameShell               |sndCrownGuardianFire      |sprBigNameRight                |                        |
|FlameSound                     |mod_current                |        |draw_set_blend_mode_ext               |FlameSound               |sndCrownGuardianHurt      |sprBigPortal                   |                        |
|Flare                          |mod_current                |        |draw_set_circle_precision             |Flare                    |sndCrownGuns              |sprBigPortalDisappear          |                        |
|Floor                          |mod_current                |        |draw_set_color                        |Floor                    |sndCrownHaste             |sprBigPortalSpawn              |                        |
|FloorExplo                     |mod_current                |        |draw_set_color_write_enable           |FloorExplo               |sndCrownHatred            |sprBigPortrait                 |                        |
|FloorMaker                     |mod_current                |        |draw_set_colour                       |FloorMaker               |sndCrownLife              |sprBigPortraitChickenHeadless  |                        |
|FloorMiddle                    |mod_current                |        |draw_set_colour_write_enable          |FloorMiddle              |sndCrownLove              |sprBigPortraitRebelBHooded     |                        |
|Freak                          |mod_current                |        |draw_set_fog                          |Freak                    |sndCrownLuck              |sprBigRad                      |                        |
|FrogEgg                        |mod_current                |        |draw_set_font                         |FrogEgg                  |sndCrownNo                |sprBigSkull                    |                        |
|FrogHeal                       |mod_current                |        |draw_set_halign                       |FrogHeal                 |sndCrownProtection        |sprBigSkullDead                |                        |
|FrogQueen                      |mod_current                |        |draw_set_projection                   |FrogQueen                |sndCrownRandom            |sprBigSkullHurt                |                        |
|FrogQueenBall                  |mod_current                |        |draw_set_valign                       |FrogQueenBall            |sndCrownRisk              |sprBigSkullOpen                |                        |
|FrogQueenDie                   |mod_current                |        |draw_set_visible                      |FrogQueenDie             |sndCrystalJuggernaut      |sprBigSkullOpenHurt            |                        |
|FullScreenToggle               |mod_current                |        |draw_set_visible_all                  |FullScreenToggle         |sndCrystalPropBreak       |sprBigTVDead                   |                        |
|GameCont                       |mod_current                |        |draw_set_visible_bbox                 |GameCont                 |sndCrystalRicochet        |sprBigTVLines                  |                        |
|GameMenuButton                 |mod_current                |        |draw_set_visible_bbox_all             |GameMenuButton           |sndCrystalShield          |sprBigTVOff                    |                        |
|GameObject                     |mod_current                |        |draw_sprite                           |GameObject               |sndCrystalTB              |sprBigTVOn                     |                        |
|GameOverButton                 |mod_current                |        |draw_sprite_ext                       |GameOverButton           |sndCrystalUltraA          |sprBigTVTurnOn                 |                        |
|GamePadToggle                  |mod_current                |        |draw_sprite_ext                       |GamePadToggle            |sndCrystalUltraB          |sprBlackSword                  |                        |
|GammaBlast                     |mod_current                |        |draw_sprite_general                   |GammaBlast               |sndCursedChest            |sprBloodBall                   |                        |
|Gator                          |mod_current                |        |draw_sprite_part                      |Gator                    |sndCursedPickup           |sprBloodCannon                 |                        |
|GatorSmoke                     |mod_current                |        |draw_sprite_part_ext                  |GatorSmoke               |sndCursedPickupDisappear  |sprBloodGamble                 |                        |
|GenCont                        |mod_current                |        |draw_sprite_pos                       |GenCont                  |sndCursedReminder         |sprBloodGrenade                |                        |
